Conference,Team
ACC,Boston College
ACC,California
ACC,Clemson
ACC,Duke
ACC,Florida State
ACC,Georgia Tech
ACC,Louisville
ACC,Miami (FL)
ACC,North Carolina
ACC,NC State
ACC,Pittsburgh
ACC,SMU
ACC,Stanford
ACC,Syracuse
ACC,Virginia
ACC,Virginia Tech
ACC,Wake Forest
American Athletic,Army
American Athletic,Charlotte
American Athletic,East Carolina
American Athletic,Florida Atlantic
American Athletic,Memphis
American Athletic,Navy
American Athletic,North Texas
American Athletic,Rice
American Athletic,South Florida
American Athletic,Temple
American Athletic,Tulane
American Athletic,Tulsa
American Athletic,UAB
American Athletic,UTSA
Big 12,Arizona
Big 12,Arizona State
Big 12,Baylor
Big 12,BYU
Big 12,Cincinnati
Big 12,Colorado
Big 12,Houston
Big 12,Iowa State
Big 12,Kansas
Big 12,Kansas State
Big 12,Oklahoma State
Big 12,TCU
Big 12,Texas Tech
Big 12,UCF
Big 12,Utah
Big 12,West Virginia
Big Ten,Illinois
Big Ten,Indiana
Big Ten,Iowa
Big Ten,Maryland
Big Ten,Michigan
Big Ten,Michigan State
Big Ten,Minnesota
Big Ten,Nebraska
Big Ten,Northwestern
Big Ten,Ohio State
Big Ten,Oregon
Big Ten,Penn State
Big Ten,Purdue
Big Ten,Rutgers
Big Ten,UCLA
Big Ten,USC
Big Ten,Washington
Big Ten,Wisconsin
CUSA,Delaware
CUSA,FIU
CUSA,Jacksonville State
CUSA,Kennesaw State
CUSA,Liberty
CUSA,Louisiana Tech
CUSA,Middle Tennessee
CUSA,Missouri State
CUSA,New Mexico State
CUSA,Sam Houston
CUSA,UTEP
CUSA,Western Kentucky
FBS Independent,UConn
FBS Independent,Notre Dame
FBS Independent,Oregon State
FBS Independent,Washington State
MAC,Akron
MAC,Ball State
MAC,Bowling Green
MAC,Buffalo
MAC,Central Michigan
MAC,Eastern Michigan
MAC,Kent State
MAC,Miami (OH)
MAC,Northern Illinois
MAC,Ohio
MAC,Toledo
MAC,UMass
MAC,Western Michigan
Mountain West,Air Force
Mountain West,Boise State
Mountain West,Colorado State
Mountain West,Fresno State
Mountain West,Hawaii (football-only member)
Mountain West,Nevada
Mountain West,New Mexico
Mountain West,San Diego State
Mountain West,San Jose State
Mountain West,UNLV
Mountain West,Utah State
Mountain West,Wyoming
SEC,Alabama
SEC,Arkansas
SEC,Auburn
SEC,Florida
SEC,Georgia
SEC,Kentucky
SEC,LSU
SEC,Ole Miss
SEC,Mississippi State
SEC,Missouri
SEC,Oklahoma
SEC,South Carolina
SEC,Tennessee
SEC,Texas
SEC,Texas A&M
SEC,Vanderbilt
Sun Belt,Appalachian State
Sun Belt,Arkansas State
Sun Belt,Coastal Carolina
Sun Belt,Georgia Southern
Sun Belt,Georgia State
Sun Belt,James Madison
Sun Belt,Louisiana
Sun Belt,Marshall
Sun Belt,Old Dominion
Sun Belt,South Alabama
Sun Belt,Southern Miss
Sun Belt,Texas State
Sun Belt,Troy
Sun Belt,ULM
